time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count,asset_pair
2022-05-19,2022-05-20T00:00:00.0000000Z,2022-05-19T00:00:00.0000000Z,2022-05-19T23:59:59.9970000Z,28715.33,30545.18,28691.38,30319.23,67877.36415000002,1860780,BINANCE_SPOT_BTC_USDT
2022-05-20,2022-05-21T00:00:00.0000000Z,2022-05-20T00:00:00.0020000Z,2022-05-20T23:59:59.9990000Z,30319.22,30777.33,28730.0,29201.01,60517.253249999994,1694004,BINANCE_SPOT_BTC_USDT
2022-05-21,2022-05-22T00:00:00.0000000Z,2022-05-21T00:00:00.0000000Z,2022-05-21T23:59:59.9990000Z,29201.01,29656.18,28947.28,29445.06,20984.578050000004,643396,BINANCE_SPOT_BTC_USDT
2022-05-22,2022-05-23T00:00:00.0000000Z,2022-05-22T00:00:00.0130000Z,2022-05-22T23:59:59.9990000Z,29445.07,30487.99,29255.11,30293.94,36158.98748,862880,BINANCE_SPOT_BTC_USDT
2022-05-23,2022-05-24T00:00:00.0000000Z,2022-05-23T00:00:00.0000000Z,2022-05-23T23:59:59.9990000Z,30293.93,30670.51,28866.35,29109.15,63900.33421999999,1328210,BINANCE_SPOT_BTC_USDT
2022-05-24,2022-05-25T00:00:00.0000000Z,2022-05-24T00:00:00.0020000Z,2022-05-24T23:59:59.9980000Z,29109.14,29845.86,28669.0,29654.58,59442.96036,946421,BINANCE_SPOT_BTC_USDT
2022-05-25,2022-05-26T00:00:00.0000000Z,2022-05-25T00:00:00.0020000Z,2022-05-25T23:59:59.9980000Z,29654.58,30223.74,29294.21,29542.15,59537.38659,985440,BINANCE_SPOT_BTC_USDT
2022-05-26,2022-05-27T00:00:00.0000000Z,2022-05-26T00:00:00.0070000Z,2022-05-26T23:59:59.9990000Z,29542.14,29886.64,28019.56,29201.35,94581.65463,1431112,BINANCE_SPOT_BTC_USDT
2022-05-27,2022-05-28T00:00:00.0000000Z,2022-05-27T00:00:00.0000000Z,2022-05-27T23:59:59.9970000Z,29201.35,29397.66,28282.9,28629.8,90988.44099,1321162,BINANCE_SPOT_BTC_USDT
2022-05-28,2022-05-29T00:00:00.0000000Z,2022-05-28T00:00:00.0010000Z,2022-05-28T23:59:59.9990000Z,28629.81,29266.0,28450.0,29031.33,34479.35127,684423,BINANCE_SPOT_BTC_USDT
2022-05-29,2022-05-30T00:00:00.0000000Z,2022-05-29T00:00:00.0000000Z,2022-05-29T23:59:59.9990000Z,29031.33,29587.78,28839.21,29468.1,27564.915319999996,635238,BINANCE_SPOT_BTC_USDT
2022-05-30,2022-05-31T00:00:00.0000000Z,2022-05-30T00:00:00.0010000Z,2022-05-30T23:59:59.9980000Z,29468.1,32222.0,29299.62,31734.22,96785.94760000001,1380410,BINANCE_SPOT_BTC_USDT
2022-05-31,2022-06-01T00:00:00.0000000Z,2022-05-31T00:00:00.0000000Z,2022-05-31T23:59:59.9990000Z,31734.23,32399.0,31200.01,31801.04,62433.11632000001,1161340,BINANCE_SPOT_BTC_USDT
2022-06-01,2022-06-02T00:00:00.0000000Z,2022-06-01T00:00:00.0020000Z,2022-06-01T23:59:59.9990000Z,31801.05,31982.97,29301.0,29805.83,103377.82341,1404269,BINANCE_SPOT_BTC_USDT
2022-06-02,2022-06-03T00:00:00.0000000Z,2022-06-02T00:00:00.0000000Z,2022-06-02T23:59:59.9990000Z,29805.84,30689.0,29594.55,30452.62,56961.42928,1086183,BINANCE_SPOT_BTC_USDT
2022-06-03,2022-06-04T00:00:00.0000000Z,2022-06-03T00:00:00.0090000Z,2022-06-03T23:59:59.9990000Z,30452.63,30699.0,29282.36,29700.21,54067.44726999998,993769,BINANCE_SPOT_BTC_USDT
2022-06-04,2022-06-05T00:00:00.0000000Z,2022-06-04T00:00:00.0000000Z,2022-06-04T23:59:59.9990000Z,29700.21,29988.88,29485.0,29864.04,25617.901130000002,618037,BINANCE_SPOT_BTC_USDT
2022-06-05,2022-06-06T00:00:00.0000000Z,2022-06-05T00:00:00.0000000Z,2022-06-05T23:59:59.9990000Z,29864.03,30189.0,29531.42,29919.21,23138.47978,604603,BINANCE_SPOT_BTC_USDT
